Institution,City,State,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Gordon State College",Barnesville,Georgia,33.07577,-84.145706,1,place,,,"Barnesville, GA 30204",,,,,Barnesville,GA,"Lamar County",30204,US,"TIGER/Line® from the US Census Bureau",,
"Mercer University",Macon,Georgia,32.804382,-83.617554,1,place,,,"Macon, GA 31201",,,,,Macon,GA,"Bibb County",31201,US,"TIGER/Line® from the US Census Bureau",,
"Morehouse College",Atlanta,Georgia,33.844371,-84.47405,1,place,,,"Atlanta, GA 30301",,,,,Atlanta,GA,"Cobb County",30301,US,"TIGER/Line® from the US Census Bureau",,
"Oglethorpe University",Atlanta,Georgia,33.844371,-84.47405,1,place,,,"Atlanta, GA 30301",,,,,Atlanta,GA,"Cobb County",30301,US,"TIGER/Line® from the US Census Bureau",,
"Spelman College",Atlanta,Georgia,33.844371,-84.47405,1,place,,,"Atlanta, GA 30301",,,,,Atlanta,GA,"Cobb County",30301,US,"TIGER/Line® from the US Census Bureau",,
"Thomas University",Thomasville,Georgia,30.853592,-83.888269,1,place,,,"Thomasville, GA 31757",,,,,Thomasville,GA,"Thomas County",31757,US,"TIGER/Line® from the US Census Bureau",,
"Oconee Fall Line Technical College",Sandersville,Georgia,32.974982,-82.840564,1,place,,,"Sandersville, GA 31082",,,,,Sandersville,GA,"Washington County",31082,US,"TIGER/Line® from the US Census Bureau",,
"Aviation Institute of Maintenance-Atlanta",Duluth,Georgia,34.025598,-84.13045,1,place,,,"Duluth, GA 30095",,,,,Duluth,GA,"Gwinnett County",30095,US,"TIGER/Line® from the US Census Bureau",,
"Strayer University-Georgia",Chamblee,Georgia,33.892047,-84.298813,1,place,,,"Chamblee, GA 30341",,,,,Chamblee,GA,"Dekalb County",30341,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Georgia","Sandy Springs",Georgia,33.924269,-84.378538,1,place,,,"Sandy Springs, GA 30328",,,,,"Sandy Springs",GA,"Fulton County",30328,US,"TIGER/Line® from the US Census Bureau",,
"College of Eastern Idaho","Idaho Falls",Idaho,43.54241,-111.877936,1,place,,,"Idaho Falls, ID 83401",,,,,"Idaho Falls",ID,"Bonneville County",83401,US,"TIGER/Line® from the US Census Bureau",,
"DePaul University",Chicago,Illinois,41.88531,-87.62213,1,place,,,"Chicago, IL 60601",,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® from the US Census Bureau",,
"Eastern Illinois University",Charleston,Illinois,39.499622,-88.160348,1,place,,,"Charleston, IL 61920",,,,,Charleston,IL,"Coles County",61920,US,"TIGER/Line® from the US Census Bureau",,
"University of Illinois Chicago",Chicago,Illinois,41.88531,-87.62213,1,place,,,"Chicago, IL 60601",,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® from the US Census Bureau",,
"Benedictine University",Lisle,Illinois,41.80114,-88.07479,1,place,,,"Lisle, IL 60532",,,,,Lisle,IL,"Dupage County",60532,US,"TIGER/Line® from the US Census Bureau",,
"Illinois Institute of Technology",Chicago,Illinois,41.88531,-87.62213,1,place,,,"Chicago, IL 60601",,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® from the US Census Bureau",,
"Illinois State University",Normal,Illinois,40.529083,-88.958937,1,place,,,"Normal, IL 61761",,,,,Normal,IL,"McLean County",61761,US,"TIGER/Line® from the US Census Bureau",,
"Lewis University",Romeoville,Illinois,41.64038,-88.069621,1,place,,,"Romeoville, IL 60446",,,,,Romeoville,IL,"Will County",60446,US,"TIGER/Line® from the US Census Bureau",,
"Methodist College",Peoria,Illinois,40.693137,-89.589847,1,place,,,"Peoria, IL 61601",,,,,Peoria,IL,"Peoria County",61601,US,"TIGER/Line® from the US Census Bureau",,
